Year,Month,Fuel Type,Quantity,UNIT
1987,April,Natural Gas,1134.38,GWh
1987,April,Diesel,0.17,GWh
1987,April,Imported,34.66,GWh
1987,May,Hydro Electricity,409.23,GWh
1987,May,Fuel Oil,245.44,GWh
1987,May,Coal & Lignite,576.18,GWh
1987,May,Natural Gas,1267.82,GWh
1987,May,Diesel,0.2,GWh
1987,May,Imported,29.97,GWh
1987,June,Hydro Electricity,340.68,GWh
1987,June,Fuel Oil,136.2,GWh
1987,June,Coal & Lignite,512.04,GWh
1987,June,Natural Gas,1445.47,GWh
1987,June,Diesel,0.18,GWh
1987,June,Imported,31.82,GWh
1987,July,Hydro Electricity,384.67,GWh
1987,July,Fuel Oil,152.56,GWh
1987,July,Coal & Lignite,585.69,GWh
1987,July,Natural Gas,1405.16,GWh
1987,July,Diesel,0.24,GWh
1987,July,Imported,17.9,GWh
1987,August,Hydro Electricity,379.76,GWh
1987,August,Fuel Oil,156.56,GWh
1987,August,Coal & Lignite,607.47,GWh
1987,August,Natural Gas,1375.53,GWh
1987,August,Diesel,0.19,GWh
1987,August,Imported,24.92,GWh
1987,September,Hydro Electricity,252.05,GWh
1987,September,Fuel Oil,185.67,GWh
1987,September,Coal & Lignite,491.4,GWh
1987,September,Natural Gas,1510.7,GWh
1987,September,Diesel,0.06,GWh
1987,September,Imported,8.34,GWh
1987,October,Hydro Electricity,230.43,GWh
1987,October,Fuel Oil,141.8,GWh
1987,October,Coal & Lignite,630.07,GWh
1987,October,Natural Gas,1502.91,GWh
1987,October,Diesel,0.33,GWh
1987,October,Imported,48.21,GWh
1987,October,Renewable Energy,2.57,GWh
1987,November,Hydro Electricity,241.01,GWh
1987,November,Fuel Oil,195.15,GWh
1987,November,Coal & Lignite,515.53,GWh
1987,November,Natural Gas,1467.48,GWh
1987,November,Diesel,0.08,GWh
1987,November,Imported,50.73,GWh
1987,November,Renewable Energy,1.39,GWh
1987,December,Hydro Electricity,123.51,GWh
1987,December,Fuel Oil,230.59,GWh
1987,December,Coal & Lignite,533.74,GWh
1987,December,Natural Gas,1335.9,GWh
1987,December,Diesel,0.03,GWh
1987,December,Imported,64.95,GWh
1987,December,Renewable Energy,0.96,GWh
1988,January,Hydro Electricity,220.18,GWh
1988,January,Fuel Oil,167.19,GWh
1988,January,Coal & Lignite,535.64,GWh
1988,January,Natural Gas,1505.89,GWh
1988,January,Diesel,0.14,GWh
1988,January,Imported,43.13,GWh
1988,January,Renewable Energy,1.55,GWh
1988,February,Hydro Electricity,340.26,GWh
1988,February,Fuel Oil,138.86,GWh
1988,February,Coal & Lignite,478.44,GWh
1988,February,Natural Gas,1469.13,GWh
1988,February,Diesel,0.15,GWh
1988,February,Imported,43.73,GWh
1988,February,Renewable Energy,1.24,GWh
1988,March,Hydro Electricity,550.48,GWh
1988,March,Fuel Oil,238.96,GWh
1988,March,Coal & Lignite,546.34,GWh
1988,March,Natural Gas,1529.92,GWh
1988,March,Diesel,0.25,GWh
1988,March,Imported,29.84,GWh
1988,March,Renewable Energy,0.54,GWh
1988,April,Hydro Electricity,442.62,GWh
1988,April,Fuel Oil,226.39,GWh
1988,April,Coal & Lignite,599.86,GWh
1988,April,Natural Gas,1478.56,GWh
1988,April,Diesel,0.09,GWh
1988,April,Imported,28.99,GWh
1988,April,Renewable Energy,0.54,GWh
1988,May,Hydro Electricity,288.26,GWh
1988,May,Fuel Oil,279.42,GWh
1988,May,Coal & Lignite,616.65,GWh
1988,May,Natural Gas,1572.08,GWh
1988,May,Diesel,0.06,GWh
1988,May,Imported,26.89,GWh
1988,May,Renewable Energy,0.16,GWh
1988,June,Hydro Electricity,269.66,GWh
1988,June,Fuel Oil,264.55,GWh
1988,June,Coal & Lignite,607.74,GWh
1988,June,Natural Gas,1584.31,GWh
1988,June,Diesel,0.08,GWh
1988,June,Imported,32.51,GWh
1988,June,Renewable Energy,1.74,GWh
1988,July,Hydro Electricity,305.17,GWh
1988,July,Fuel Oil,275.28,GWh
1988,July,Coal & Lignite,633.22,GWh
1988,July,Natural Gas,1554.37,GWh
1988,July,Diesel,0.05,GWh
1988,July,Imported,31.19,GWh
1988,July,Renewable Energy,7.26,GWh
1988,August,Hydro Electricity,287.39,GWh
1988,August,Fuel Oil,295.65,GWh
1988,August,Coal & Lignite,588.84,GWh
1988,August,Natural Gas,1641.23,GWh
1988,August,Diesel,0.09,GWh
1988,August,Imported,44.71,GWh
1988,August,Renewable Energy,8.95,GWh
1988,September,Hydro Electricity,288.55,GWh
1988,September,Fuel Oil,400.62,GWh
1988,September,Coal & Lignite,504.19,GWh
1988,September,Natural Gas,1611.5,GWh
1988,September,Diesel,0.04,GWh
1988,September,Imported,35.51,GWh
1988,September,Renewable Energy,2.75,GWh
1988,October,Hydro Electricity,251.65,GWh
1988,October,Fuel Oil,301.82,GWh
1988,October,Coal & Lignite,618.78,GWh
1988,October,Natural Gas,1642.22,GWh
1988,October,Diesel,0.8,GWh
1988,October,Imported,40.68,GWh
1988,October,Renewable Energy,2.13,GWh
1988,November,Hydro Electricity,247.79,GWh
1988,November,Fuel Oil,263.84,GWh
1988,November,Coal & Lignite,540.05,GWh
1988,November,Natural Gas,1545.27,GWh
1988,November,Diesel,1.11,GWh
1988,November,Imported,39.05,GWh
1988,November,Renewable Energy,1.86,GWh
1988,December,Hydro Electricity,226.16,GWh
1988,December,Fuel Oil,289.45,GWh
1988,December,Coal & Lignite,529.75,GWh
1988,December,Natural Gas,1585.4,GWh
1988,December,Diesel,0.61,GWh
1988,December,Imported,33.55,GWh
1988,December,Renewable Energy,1.47,GWh
1989,January,Hydro Electricity,332.65,GWh
1989,January,Fuel Oil,413.52,GWh
1989,January,Coal & Lignite,527.57,GWh
1989,January,Natural Gas,1619.19,GWh
1989,January,Diesel,0.3,GWh
1989,January,Imported,27.07,GWh
1989,January,Renewable Energy,0.75,GWh
1989,February,Hydro Electricity,466.02,GWh
1989,February,Fuel Oil,235.23,GWh
1989,February,Coal & Lignite,544.21,GWh
1989,February,Natural Gas,1396.71,GWh
1989,February,Diesel,0.36,GWh
1989,February,Imported,25.21,GWh
1989,February,Renewable Energy,0.67,GWh
1989,March,Hydro Electricity,675.91,GWh
1989,March,Fuel Oil,314.37,GWh
1989,March,Coal & Lignite,608.9,GWh
1989,March,Natural Gas,1575.68,GWh
1989,March,Diesel,0.75,GWh
1989,March,Imported,27.94,GWh
1989,March,Renewable Energy,0.63,GWh
1989,April,Hydro Electricity,679.34,GWh
1989,April,Fuel Oil,329.2,GWh
1989,April,Coal & Lignite,621.21,GWh
1989,April,Natural Gas,1543.28,GWh
1989,April,Diesel,0.39,GWh
1989,April,Imported,28.85,GWh
1989,April,Renewable Energy,0.59,GWh
1989,May,Hydro Electricity,601.83,GWh
1989,May,Fuel Oil,357.02,GWh
1989,May,Coal & Lignite,623.16,GWh
1989,May,Natural Gas,1691.85,GWh
1989,May,Diesel,0.38,GWh
1989,May,Imported,28.44,GWh
1989,May,Renewable Energy,0.88,GWh
1989,June,Hydro Electricity,423.75,GWh
1989,June,Fuel Oil,382.57,GWh
1989,June,Coal & Lignite,637.37,GWh
1989,June,Natural Gas,1692,GWh
1989,June,Diesel,0.41,GWh
1989,June,Imported,38.09,GWh
1989,June,Renewable Energy,1.47,GWh
1989,July,Hydro Electricity,325.62,GWh
1989,July,Fuel Oil,403.84,GWh
1989,July,Coal & Lignite,719.31,GWh
1989,July,Natural Gas,1735.76,GWh
1989,July,Diesel,0.06,GWh
1989,July,Imported,56.55,GWh
1989,July,Renewable Energy,1.87,GWh
1989,August,Hydro Electricity,537.38,GWh
1989,August,Fuel Oil,356.25,GWh
1989,August,Coal & Lignite,697.36,GWh
1989,August,Natural Gas,1635.85,GWh
1989,August,Diesel,0.87,GWh
1989,August,Imported,66.61,GWh
1989,August,Renewable Energy,2.23,GWh
1989,September,Hydro Electricity,458.28,GWh
1989,September,Fuel Oil,380.97,GWh
1989,September,Coal & Lignite,682.84,GWh
1989,September,Natural Gas,1642.24,GWh
1989,September,Diesel,0.75,GWh
1989,September,Imported,97.1,GWh
1989,September,Renewable Energy,6.8,GWh
1989,October,Hydro Electricity,333.38,GWh
1989,October,Fuel Oil,516.67,GWh
1989,October,Coal & Lignite,695.37,GWh
1989,October,Natural Gas,1720.46,GWh
1989,October,Diesel,0.09,GWh
1989,October,Imported,80.99,GWh
1989,October,Renewable Energy,3.34,GWh
1989,November,Hydro Electricity,439.41,GWh
1989,November,Fuel Oil,582.26,GWh
1989,November,Coal & Lignite,707.56,GWh
1989,November,Natural Gas,1420.03,GWh
1989,November,Diesel,4.73,GWh
1989,November,Imported,84.79,GWh
1989,November,Renewable Energy,1.42,GWh
1989,December,Hydro Electricity,238.64,GWh
1989,December,Fuel Oil,466.93,GWh
1989,December,Coal & Lignite,804.71,GWh
1989,December,Natural Gas,1521.7,GWh
1989,December,Diesel,7.36,GWh
1989,December,Imported,81.51,GWh
1989,December,Renewable Energy,0.92,GWh
1990,January,Hydro Electricity,317,GWh
1990,January,Fuel Oil,643.61,GWh
1990,January,Coal & Lignite,856.46,GWh
1990,January,Natural Gas,1508.3,GWh
1990,January,Diesel,16.19,GWh
1990,January,Imported,67.57,GWh
1990,January,Renewable Energy,1.01,GWh
1990,February,Hydro Electricity,397.38,GWh
1990,February,Fuel Oil,781.93,GWh
1990,February,Coal & Lignite,714.83,GWh
1990,February,Natural Gas,1363.23,GWh
1990,February,Diesel,13.95,GWh
1990,February,Imported,51.83,GWh
1990,February,Renewable Energy,0.95,GWh
1990,March,Hydro Electricity,575.93,GWh
1990,March,Fuel Oil,772.41,GWh
1990,March,Coal & Lignite,821.44,GWh
1990,March,Natural Gas,1568.29,GWh
1990,March,Diesel,17.25,GWh
1990,March,Imported,48.2,GWh
1990,March,Renewable Energy,1.38,GWh
1990,April,Hydro Electricity,490.12,GWh
1990,April,Fuel Oil,738.4,GWh
1990,April,Coal & Lignite,949.72,GWh
1990,April,Natural Gas,1470.67,GWh
1990,April,Diesel,19.68,GWh
1990,April,Imported,39.76,GWh
1990,April,Renewable Energy,1.49,GWh
1990,May,Hydro Electricity,444.34,GWh
1990,May,Fuel Oil,829.17,GWh
1990,May,Coal & Lignite,945.47,GWh
1990,May,Natural Gas,1597.16,GWh
1990,May,Diesel,26.15,GWh
1990,May,Imported,32.66,GWh
1990,May,Renewable Energy,2.44,GWh
1990,June,Hydro Electricity,373.01,GWh
1990,June,Fuel Oil,884.11,GWh
1990,June,Coal & Lignite,1010.32,GWh
1990,June,Natural Gas,1470.7,GWh
1990,June,Diesel,33.69,GWh
1990,June,Imported,48.59,GWh
1990,June,Renewable Energy,3.16,GWh
1990,July,Hydro Electricity,369.89,GWh
1990,July,Fuel Oil,980.33,GWh
1990,July,Coal & Lignite,913.81,GWh
1990,July,Natural Gas,1439.4,GWh
1990,July,Diesel,43.49,GWh
1990,July,Imported,56.34,GWh
1990,July,Renewable Energy,3.87,GWh
1990,August,Hydro Electricity,413.36,GWh
1990,August,Fuel Oil,1017.24,GWh
1990,August,Coal & Lignite,921.94,GWh
1990,August,Natural Gas,1464.95,GWh
1990,August,Diesel,34.05,GWh
1990,August,Imported,64.41,GWh
1990,August,Renewable Energy,3.89,GWh
1990,September,Hydro Electricity,438.74,GWh
1990,September,Fuel Oil,853.58,GWh
1990,September,Coal & Lignite,888.9,GWh
1990,September,Natural Gas,1513.7,GWh
1990,September,Diesel,41.44,GWh
1990,September,Imported,60.39,GWh
1990,September,Renewable Energy,2.86,GWh
1990,October,Hydro Electricity,423.62,GWh
1990,October,Fuel Oil,818.86,GWh
1990,October,Coal & Lignite,1079.32,GWh
1990,October,Natural Gas,1426.84,GWh
1990,October,Diesel,53.44,GWh
1990,October,Imported,65.95,GWh
1990,October,Renewable Energy,1.71,GWh
1990,November,Hydro Electricity,390.6,GWh
1990,November,Fuel Oil,784.6,GWh
1990,November,Coal & Lignite,987.8,GWh
1990,November,Natural Gas,1515.03,GWh
1990,November,Diesel,27.48,GWh
1990,November,Imported,56.41,GWh
1990,November,Renewable Energy,1.37,GWh
1990,December,Hydro Electricity,266.12,GWh
1990,December,Fuel Oil,908.39,GWh
1990,December,Coal & Lignite,962.84,GWh
1990,December,Natural Gas,1426.79,GWh
1990,December,Diesel,30.04,GWh
1990,December,Imported,60.21,GWh
1990,December,Renewable Energy,0.86,GWh
1991,January,Hydro Electricity,383.46,GWh
1991,January,Fuel Oil,983.85,GWh
1991,January,Coal & Lignite,1025.72,GWh
1991,January,Natural Gas,1495.83,GWh
1991,January,Diesel,33.26,GWh
1991,January,Imported,40.98,GWh
1991,January,Renewable Energy,0.84,GWh
1991,February,Hydro Electricity,332.91,GWh
1991,February,Fuel Oil,816.13,GWh
1991,February,Coal & Lignite,908.8,GWh
1991,February,Natural Gas,1428.92,GWh
1991,February,Diesel,9.49,GWh
1991,February,Imported,42.69,GWh
1991,February,Renewable Energy,1.09,GWh
1991,March,Hydro Electricity,463.44,GWh
1991,March,Fuel Oil,1044.46,GWh
1991,March,Coal & Lignite,1030.34,GWh
1991,March,Natural Gas,1797.33,GWh
1991,March,Diesel,12,GWh
1991,March,Imported,41.99,GWh
1991,March,Renewable Energy,1.43,GWh
1991,April,Hydro Electricity,420.96,GWh
1991,April,Fuel Oil,1023.43,GWh
1991,April,Coal & Lignite,994.83,GWh
1991,April,Natural Gas,1641.54,GWh
1991,April,Diesel,13.65,GWh
1991,April,Imported,55.24,GWh
1991,April,Renewable Energy,3.56,GWh
1991,May,Hydro Electricity,307.44,GWh
1991,May,Fuel Oil,1078.68,GWh
1991,May,Coal & Lignite,1128.88,GWh
1991,May,Natural Gas,1898.31,GWh
1991,May,Diesel,17.62,GWh
1991,May,Imported,35.24,GWh
1991,May,Renewable Energy,1.97,GWh
1991,June,Hydro Electricity,231.26,GWh
1991,June,Fuel Oil,882.96,GWh
1991,June,Coal & Lignite,1166.19,GWh
1991,June,Natural Gas,1933.54,GWh
1991,June,Diesel,14.72,GWh
1991,June,Imported,40.22,GWh
1991,June,Renewable Energy,3.02,GWh
1991,July,Hydro Electricity,276.64,GWh
1991,July,Fuel Oil,1086.16,GWh
1991,July,Coal & Lignite,1190.82,GWh
1991,July,Natural Gas,1795.7,GWh
1991,July,Diesel,2.46,GWh
1991,July,Imported,69.66,GWh
1991,July,Renewable Energy,1.2,GWh
1991,August,Hydro Electricity,410.1,GWh
1991,August,Fuel Oil,1126.44,GWh
1991,August,Coal & Lignite,1743.68,GWh
1991,August,Natural Gas,994.92,GWh
1991,August,Diesel,0.54,GWh
1991,August,Imported,85.75,GWh
1991,August,Renewable Energy,1.09,GWh
1991,September,Hydro Electricity,486.9,GWh
1991,September,Fuel Oil,1121.62,GWh
1991,September,Coal & Lignite,1044.08,GWh
1991,September,Natural Gas,1648.71,GWh
1991,September,Diesel,2.09,GWh
1991,September,Imported,56.58,GWh
1991,September,Renewable Energy,3.43,GWh
1991,October,Hydro Electricity,405.94,GWh
1991,October,Fuel Oil,1213.62,GWh
1991,October,Coal & Lignite,1153.05,GWh
1991,October,Natural Gas,1601.55,GWh
1991,October,Diesel,0.58,GWh
1991,October,Imported,50.27,GWh
1991,October,Renewable Energy,6.84,GWh
1991,November,Hydro Electricity,456.49,GWh
1991,November,Fuel Oil,1030.93,GWh
1991,November,Coal & Lignite,1166.32,GWh
1991,November,Natural Gas,1467.22,GWh
1991,November,Diesel,3.59,GWh
1991,November,Imported,49.49,GWh
1991,November,Renewable Energy,3.1,GWh
1991,December,Hydro Electricity,329.81,GWh
1991,December,Fuel Oil,1228.11,GWh
1991,December,Coal & Lignite,1232.51,GWh
1991,December,Natural Gas,1347.62,GWh
1991,December,Diesel,2.57,GWh
1991,December,Imported,25,GWh
1991,December,Renewable Energy,2.08,GWh
1992,January,Hydro Electricity,338.98,GWh
1992,January,Fuel Oil,1128.07,GWh
1992,January,Coal & Lignite,1301.86,GWh
1992,January,Natural Gas,1436.21,GWh
1992,January,Diesel,0.97,GWh
1992,January,Imported,23.44,GWh
1992,January,Renewable Energy,1.69,GWh
1992,February,Hydro Electricity,404.93,GWh
1992,February,Fuel Oil,1213.75,GWh
1992,February,Coal & Lignite,1173.14,GWh
1992,February,Natural Gas,1368.82,GWh
1992,February,Diesel,1.25,GWh
1992,February,Imported,35.23,GWh
1992,February,Renewable Energy,1.89,GWh
1992,March,Hydro Electricity,561.37,GWh
1992,March,Fuel Oil,1559.49,GWh
1992,March,Coal & Lignite,1277.74,GWh
1992,March,Natural Gas,1500.77,GWh
1992,March,Diesel,6.39,GWh
1992,March,Imported,21.03,GWh
1992,March,Renewable Energy,1.85,GWh
1992,April,Hydro Electricity,475.98,GWh
1992,April,Fuel Oil,1420.89,GWh
1992,April,Coal & Lignite,1238.02,GWh
1992,April,Natural Gas,1723.41,GWh
1992,April,Diesel,2.48,GWh
1992,April,Imported,29.11,GWh
1992,April,Renewable Energy,2.03,GWh
1992,May,Hydro Electricity,402.01,GWh
1992,May,Fuel Oil,1435.44,GWh
1992,May,Coal & Lignite,1220.56,GWh
1992,May,Natural Gas,2004.46,GWh
1992,May,Diesel,4.04,GWh
1992,May,Imported,34.38,GWh
1992,May,Renewable Energy,1.61,GWh
1992,June,Hydro Electricity,335.12,GWh
1992,June,Fuel Oil,1370.41,GWh
1992,June,Coal & Lignite,1298.16,GWh
1992,June,Natural Gas,1830.98,GWh
1992,June,Diesel,21.92,GWh
1992,June,Imported,46.55,GWh
1992,June,Renewable Energy,0.43,GWh
1992,July,Hydro Electricity,281.89,GWh
1992,July,Fuel Oil,1274.84,GWh
1992,July,Coal & Lignite,1406.82,GWh
1992,July,Natural Gas,1941.91,GWh
1992,July,Diesel,31.39,GWh
1992,July,Imported,69.72,GWh
1992,July,Renewable Energy,0.57,GWh
1992,August,Hydro Electricity,206.71,GWh
1992,August,Fuel Oil,1174.85,GWh
1992,August,Coal & Lignite,1376.16,GWh
1992,August,Natural Gas,2127.24,GWh
1992,August,Diesel,16.92,GWh
1992,August,Imported,75.4,GWh
1992,August,Renewable Energy,0.7,GWh
1992,September,Hydro Electricity,281.96,GWh
1992,September,Fuel Oil,1118.62,GWh
1992,September,Coal & Lignite,1237.45,GWh
1992,September,Natural Gas,2282.63,GWh
1992,September,Diesel,12.91,GWh
1992,September,Imported,50.58,GWh
1992,September,Renewable Energy,2.35,GWh
1992,October,Hydro Electricity,276.86,GWh
1992,October,Fuel Oil,994.01,GWh
1992,October,Coal & Lignite,1330.35,GWh
1992,October,Natural Gas,2197.44,GWh
1992,October,Diesel,57.25,GWh
1992,October,Imported,47.08,GWh
1992,October,Renewable Energy,3.74,GWh
1992,November,Hydro Electricity,269.54,GWh
1992,November,Fuel Oil,1133.13,GWh
1992,November,Coal & Lignite,996.25,GWh
1992,November,Natural Gas,2214.63,GWh
1992,November,Diesel,4.84,GWh
1992,November,Imported,27.64,GWh
1992,November,Renewable Energy,2.32,GWh
1992,December,Hydro Electricity,323.59,GWh
1992,December,Fuel Oil,1105.42,GWh
1992,December,Coal & Lignite,958.54,GWh
1992,December,Natural Gas,2314.54,GWh
1992,December,Diesel,0.98,GWh
1992,December,Imported,19.73,GWh
1992,December,Renewable Energy,1.66,GWh
1993,January,Hydro Electricity,220.241,GWh
1993,January,Fuel Oil,1320.047,GWh
1993,January,Coal & Lignite,896.118,GWh
1993,January,Natural Gas,2252.209,GWh
1993,January,Diesel,8.17,GWh
1993,January,Imported,22.758,GWh
1993,January,Renewable Energy,1.75,GWh
1993,February,Hydro Electricity,352.839,GWh
1993,February,Fuel Oil,1260.039,GWh
1993,February,Coal & Lignite,753.727,GWh
1993,February,Natural Gas,2233.516,GWh
1993,February,Diesel,10.262,GWh
1993,February,Imported,15.832,GWh
1993,February,Renewable Energy,1.541,GWh
1993,March,Hydro Electricity,451.642,GWh
1993,March,Fuel Oil,1616.844,GWh
1993,March,Coal & Lignite,924.019,GWh
1993,March,Natural Gas,2454.566,GWh
1993,March,Diesel,18.527,GWh
1993,March,Imported,20.703,GWh
1993,March,Renewable Energy,1.748,GWh
1993,April,Hydro Electricity,394.094,GWh
1993,April,Fuel Oil,1365.171,GWh
1993,April,Coal & Lignite,1049.818,GWh
1993,April,Natural Gas,2367.726,GWh
1993,April,Diesel,24.092,GWh
1993,April,Imported,24.685,GWh
1993,April,Renewable Energy,1.729,GWh
1993,May,Hydro Electricity,345.901,GWh
1993,May,Fuel Oil,1470.185,GWh
1993,May,Coal & Lignite,1409.093,GWh
1993,May,Natural Gas,2336.6,GWh
1993,May,Diesel,57.87,GWh
1993,May,Imported,31.914,GWh
1993,May,Renewable Energy,2.18,GWh
1993,June,Hydro Electricity,324.463,GWh
1993,June,Fuel Oil,1460.094,GWh
1993,June,Coal & Lignite,1389.994,GWh
1993,June,Natural Gas,2234.096,GWh
1993,June,Diesel,54.445,GWh
1993,June,Imported,45.453,GWh
1993,June,Renewable Energy,1.871,GWh
1993,July,Hydro Electricity,274.168,GWh
1993,July,Fuel Oil,1539.638,GWh
1993,July,Coal & Lignite,1438.831,GWh
1993,July,Natural Gas,2392.839,GWh
1993,July,Diesel,36.898,GWh
1993,July,Imported,77.836,GWh
1993,July,Renewable Energy,2.065,GWh
1993,August,Hydro Electricity,328.449,GWh
1993,August,Fuel Oil,1361.452,GWh
1993,August,Coal & Lignite,1409.205,GWh
1993,August,Natural Gas,2189.237,GWh
1993,August,Diesel,40.928,GWh
1993,August,Imported,116.289,GWh
1993,August,Renewable Energy,2.766,GWh
1993,September,Hydro Electricity,237.451,GWh
1993,September,Fuel Oil,1293.892,GWh
1993,September,Coal & Lignite,1276.059,GWh
1993,September,Natural Gas,2385.936,GWh
1993,September,Diesel,143.081,GWh
1993,September,Imported,120.092,GWh
1993,September,Renewable Energy,4.523,GWh
1993,October,Hydro Electricity,201.966,GWh
1993,October,Fuel Oil,1567.683,GWh
1993,October,Coal & Lignite,1130,GWh
1993,October,Natural Gas,2473.185,GWh
1993,October,Diesel,127.873,GWh
1993,October,Imported,82.616,GWh
1993,October,Renewable Energy,4.84,GWh
1993,November,Hydro Electricity,309.103,GWh
1993,November,Fuel Oil,1747.871,GWh
1993,November,Coal & Lignite,883.544,GWh
1993,November,Natural Gas,2255.369,GWh
1993,November,Diesel,132.375,GWh
1993,November,Imported,37.278,GWh
1993,November,Renewable Energy,3.061,GWh
1993,December,Hydro Electricity,172.184,GWh
1993,December,Fuel Oil,1491.604,GWh
1993,December,Coal & Lignite,943.346,GWh
1993,December,Natural Gas,2377.881,GWh
1993,December,Diesel,89.444,GWh
1993,December,Imported,49.06,GWh
1993,December,Renewable Energy,1.355,GWh
1994,January,Hydro Electricity,228.668,GWh
1994,January,Fuel Oil,1679.718,GWh
1994,January,Coal & Lignite,931.351,GWh
1994,January,Natural Gas,2399.783,GWh
1994,January,Diesel,173.633,GWh
1994,January,Imported,47.307,GWh
1994,January,Renewable Energy,1.88268,GWh
1994,February,Hydro Electricity,286.588,GWh
1994,February,Fuel Oil,1518.985,GWh
1994,February,Coal & Lignite,984.73,GWh
1994,February,Natural Gas,2311.103,GWh
1994,February,Diesel,141.056,GWh
1994,February,Imported,42.804,GWh
1994,February,Renewable Energy,1.94904,GWh
1994,March,Hydro Electricity,330.83,GWh
1994,March,Fuel Oil,1504.255,GWh
1994,March,Coal & Lignite,1341.485,GWh
1994,March,Natural Gas,2770.875,GWh
1994,March,Diesel,105.138,GWh
1994,March,Imported,47.606,GWh
1994,March,Renewable Energy,3.22956,GWh
1994,April,Hydro Electricity,302.072,GWh
1994,April,Fuel Oil,1627.016,GWh
1994,April,Coal & Lignite,1372.251,GWh
1994,April,Natural Gas,2504.81,GWh
1994,April,Diesel,87.899,GWh
1994,April,Imported,42.141,GWh
1994,April,Renewable Energy,3.73356,GWh
1994,May,Hydro Electricity,298.404,GWh
1994,May,Fuel Oil,1782.952,GWh
1994,May,Coal & Lignite,1405.696,GWh
1994,May,Natural Gas,2550.16,GWh
1994,May,Diesel,168.474,GWh
1994,May,Imported,50.381,GWh
1994,May,Renewable Energy,3.0557,GWh
